team_1,team_2,date,score_1,score_2,posse_1,posse_2,acerto_1,acerto_2,chutes_1,chutes_2,defesas_1,defesas_2,y_cards_1,y_cards_2,r_cards_1,r_cards_2,faltas_1,faltas_2,escanteios_1,escanteios_2,cruzamentos_1,cruzamentos_2,contatos_1,contatos_2,jogada_aerea_1,jogada_aerea_2,defesas_1,defesas_2,impedimento_1,impedimento_2,tiro_meta_1,tiro_meta_2,lateral_1,lateral_2,home_away,league
Osasuna,Sevilla," sexta-feira Agosto 12, 2022",2,1,0.35,0.65,0.73,0.85,0.36,0.3,19,23,5,3,0,0,16,9,5,2,22,18,398,648,8,18,19,23,5,2,4,5,19,24,home,LaLiga
Sevilla,Osasuna," sexta-feira Agosto 12, 2022",1,2,0.65,0.35,0.85,0.73,0.3,0.36,23,19,3,5,0,0,9,16,2,5,18,22,648,398,18,8,23,19,2,5,5,4,24,19,away,LaLiga
CeltaVigo,Espanyol," sábado Agosto 13, 2022",2,2,0.6,0.4,0.8,0.72,0.38,0.11,23,18,5,2,0,0,17,15,3,3,12,13,689,520,24,26,23,18,1,0,11,5,27,21,home,LaLiga
Espanyol,CeltaVigo," sábado Agosto 13, 2022",2,2,0.4,0.6,0.72,0.8,0.11,0.38,18,23,2,5,0,0,15,17,3,3,13,12,520,689,26,24,18,23,0,1,5,11,21,27,away,LaLiga
Valladolid,Villarreal," sábado Agosto 13, 2022",0,3,0.51,0.49,0.8,0.77,0.5,0.4,18,16,1,0,0,0,6,10,4,5,22,8,579,552,10,12,18,16,2,1,10,12,18,25,home,LaLiga
Villarreal,Valladolid," sábado Agosto 13, 2022",3,0,0.49,0.51,0.77,0.8,0.4,0.5,16,18,0,1,0,0,10,6,5,4,8,22,552,579,12,10,16,18,1,2,12,10,25,18,away,LaLiga
Barcelona,RayoVallecano," sábado Agosto 13, 2022",0,0,0.67,0.33,0.85,0.69,0.24,0.5,7,18,3,6,0,0,16,14,8,0,24,7,706,405,10,6,7,18,4,4,6,13,24,15,home,LaLiga
RayoVallecano,Barcelona," sábado Agosto 13, 2022",0,0,0.33,0.67,0.69,0.85,0.5,0.24,18,7,6,3,0,0,14,16,0,8,7,24,405,706,6,10,18,7,4,4,13,6,15,24,away,LaLiga
Cádiz,RealSociedad," domingo Agosto 14, 2022",0,1,0.41,0.59,0.69,0.8,0.14,0.47,20,27,4,2,0,0,9,20,3,6,21,15,467,631,19,20,20,27,4,0,4,10,24,23,home,LaLiga
RealSociedad,Cádiz," domingo Agosto 14, 2022",1,0,0.59,0.41,0.8,0.69,0.47,0.14,27,20,2,4,0,0,20,9,6,3,15,21,631,467,20,19,27,20,0,4,10,4,23,24,away,LaLiga
